,Unnamed: 0,mol_cid,canonical_smile,bioactivity_class,0,MW,LogP,NumHDonors,NumHAcceptors,pIC50
546,546,CHEMBL328463,O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)[C@H](Cc1ccc2c(c1)OCO2)NCP(=O)(O)O,active,active,526.4820000000003,2.5303000000000004,5.0,6.0,6.8326826652518236
547,547,CHEMBL92638,O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)[C@@H](NCP(=O)(O)O)C1CCCCC1,active,active,474.4940000000003,3.1392000000000015,5.0,4.0,6.0
548,548,CHEMBL93167,CC(C)[C@H](NCP(=O)(O)O)C(=O)N[C@@H](Cc1ccc(C2CCCCC2)cc1)C(=O)O,active,active,440.4770000000003,2.5956,5.0,4.0,6.913640169325252
549,549,CHEMBL329894,CC(C)[C@H](NCP(=O)(O)O)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)N[C@@H](Cc1ccc(O)cc1)C(=O)O,active,active,597.6050000000004,2.6480000000000006,7.0,6.0,6.0
550,550,CHEMBL93206,CC(C)(C)[C@H](NCP(=O)(O)O)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,active,active,448.45600000000013,2.6050000000000004,5.0,4.0,6.0
551,551,CHEMBL329372,CC(C)[C@H](NCP(=O)(O)O)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)N1C[C@H](O)C[C@H]1C(=O)O,active,active,547.5450000000003,1.1767,6.0,6.0,6.0
552,552,CHEMBL327799,C[C@H](O)[C@H](NCP(=O)(O)O)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,active,active,436.4010000000001,0.9397000000000004,6.0,5.0,6.1771783546968955
553,553,CHEMBL93180,O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)[C@H](Cc1ccccc1)NCP(=O)(O)O,active,active,482.4730000000002,2.8016000000000014,5.0,4.0,6.931814138253839
554,554,CHEMBL315669,O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)[C@H](Cc1c[nH]cn1)NCP(=O)(O)O,active,active,472.43800000000016,1.5246999999999997,6.0,5.0,6.0
555,555,CHEMBL91218,C[C@H](NCP(=O)(O)O)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,active,active,406.3750000000001,1.5788000000000002,5.0,4.0,6.180456064458132
556,556,CHEMBL92632,CC(C)[C@H](N[C@@H](C)C(=O)O)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,active,active,412.4860000000001,2.5527999999999995,4.0,4.0,7.638272163982407
557,557,CHEMBL329136,O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)[C@H](Cc1ccccc1O)NCP(=O)(O)O,active,active,498.4720000000002,2.507200000000001,6.0,5.0,6.0
558,558,CHEMBL329530,C[C@H](c1ccccc1)[C@H](NCP(=O)(O)O)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,active,active,496.50000000000017,3.3626000000000014,5.0,4.0,6.860120913598763
559,559,CHEMBL330507,O=C(O)[C@H](Cc1ccc(-c2ccccc2)cc1)NC(=O)[C@H](Cc1cccs1)NCP(=O)(O)O,active,active,488.5020000000002,2.863100000000001,5.0,5.0,6.414539270491499
560,560,CHEMBL313419,CCCC[C@H](NCP(=O)(O)O)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,active,active,448.45600000000013,2.7491000000000003,5.0,4.0,6.13608262304214
561,561,CHEMBL89563,CC(C)[C@H](NCP(=O)(O)O)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,active,active,434.42900000000014,2.2149,5.0,4.0,7.6020599913279625
562,562,CHEMBL328737,CC[C@H](C)C(NCC(=O)O)C(=O)N[C@@H](Cc1ccc(-c2ccccc2)cc1)C(=O)O,active,active,412.4860000000001,2.5544000000000002,4.0,4.0,7.187086643357144
563,563,CHEMBL152758,CC(N[C@H](C)C(=O)N1CCC[C@H]1C(=O)O)C(=O)O,active,active,258.27399999999994,-0.48679999999999884,3.0,4.0,7.045757490560675
564,564,CHEMBL277919,O=C(O)CCCC(=O)N1CCC[C@H]1C(=O)O,inactive,inactive,229.23199999999997,0.3169000000000001,2.0,3.0,4.154901959985743
565,565,CHEMBL358439,C[C@@H](NCC(=O)O)C(=O)N1CCC[C@H]1C(=O)O,intermediate,intermediate,244.24699999999996,-0.8752999999999991,3.0,4.0,5.619788758288394
566,566,CHEMBL78780,C[C@H](CCC(=O)O)C(=O)N1CCC[C@H]1C(=O)O,intermediate,intermediate,243.25899999999996,0.5628999999999997,2.0,3.0,5.309803919971486
567,567,CHEMBL577,C[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,active,active,348.39900000000017,1.1261000000000003,3.0,4.0,8.920818753952375
568,568,CHEMBL162360,C[C@H](CS)C(=O)N1CCCC1C(=O)O,active,active,217.28999999999996,0.6279000000000001,2.0,3.0,7.638272163982407
569,569,CHEMBL578,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,intermediate,intermediate,376.45300000000026,1.6046,2.0,5.0,5.920818753952375
570,570,CHEMBL327401,C[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)[C@H](CCCCN)NC(=O)[C@@H](N)CCC(=O)O)C(=O)N1CCC[C@H]1C(=O)O,active,active,629.7150000000003,-0.4185999999999928,8.0,8.0,7.221848749616356
571,571,CHEMBL152188,CC(CCC(=O)N1CCC[C@H]1C(=O)O)C(=O)O,inactive,inactive,243.259,0.5628999999999996,2.0,3.0,3.585026652029182
572,572,CHEMBL1237,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,active,active,405.49500000000023,1.2352000000000007,4.0,5.0,8.920818753952375
573,573,CHEMBL347755,O=C(O)C(CCc1ccccc1)N[C@H]1CCC[C@H]2SC[C@@H](C(=O)O)N2C1=O,active,active,392.47700000000015,1.5692000000000002,3.0,5.0,9.221848749616356
574,574,CHEMBL331575,CC1CCCC(C(=O)O)N1C(=O)CCS,active,active,231.31699999999998,1.1604999999999999,2.0,3.0,9.0
575,575,CHEMBL331575,CC1CCCC(C(=O)O)N1C(=O)CCS,active,active,231.31699999999998,1.1604999999999999,2.0,3.0,7.698970004336019
576,576,CHEMBL322069,CC(=O)SCC(C)C(=O)Nc1ccccc1,active,active,237.324,2.5409000000000006,1.0,3.0,6.522878745280337
577,577,CHEMBL322069,CC(=O)SCC(C)C(=O)Nc1ccccc1,intermediate,intermediate,237.324,2.5409000000000006,1.0,3.0,5.698970004336019
578,578,CHEMBL114552,O=C(O)CCCNCP(=O)(O)CCc1ccccc1,inactive,inactive,285.28,1.9114,3.0,3.0,4.0
579,579,CHEMBL1237,NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,active,active,405.49500000000023,1.2352000000000007,4.0,5.0,10.0
580,580,CHEMBL326801,CC(=O)SCC(C)C(=O)NCc1ccccc1,inactive,inactive,251.351,2.2186000000000003,1.0,3.0,3.3010299956639813
581,581,CHEMBL326801,CC(=O)SCC(C)C(=O)NCc1ccccc1,inactive,inactive,251.351,2.2186000000000003,1.0,3.0,3.6989700043360187
582,582,CHEMBL1560,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,active,active,217.28999999999996,0.6279000000000001,2.0,3.0,7.522878745280337
583,583,CHEMBL173376,Cc1ccccc1C(=O)NC(Cc1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)O,active,active,436.5080000000003,2.761020000000001,2.0,4.0,7.337242168318426
584,584,CHEMBL172917,CC(=O)NC(Cc1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)O,active,active,360.41000000000014,1.1586999999999996,2.0,4.0,6.481486060122113
585,585,CHEMBL176729,Cc1ccccc1C(=O)NC(Cc1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)OCc1ccccc1,intermediate,intermediate,526.6330000000005,4.419820000000004,1.0,5.0,5.795880017344075
586,586,CHEMBL172015,O=C(NC(Cc1cccnc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)OCc1ccccc1)c1ccccc1,active,active,513.5940000000003,3.506400000000002,1.0,6.0,7.823908740944319
587,587,CHEMBL173822,O=C(NC(Cc1ccc(O)cc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)O)c1ccccc1,active,active,438.4800000000002,2.1582,3.0,5.0,8.327902142064282
588,588,CHEMBL176688,O=C(NC(Cc1cccnc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)O)c1ccccc1,active,active,423.46900000000016,1.8475999999999997,2.0,5.0,8.244125144327509
589,589,CHEMBL556775,Cl.NC(Cc1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)O,inactive,inactive,318.373,0.9812999999999998,2.0,4.0,4.6020599913279625
590,590,CHEMBL173849,COc1ccc(CC(NC(=O)c2ccccc2)C(=O)CCC(=O)N2CCC[C@H]2C(=O)O)cc1OC,active,active,482.5330000000004,2.4698,2.0,6.0,8.853871964321762
591,591,CHEMBL176970,O=C(NC(Cc1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)O)OCc1ccccc1,active,active,452.50700000000023,2.9490000000000007,2.0,5.0,6.619788758288394
592,592,CHEMBL366455,O=C(CCC(=O)C(Cc1ccccc1)NC(=O)c1ccccc1)N[C@H](Cc1ccccc1)C(=O)O,active,active,472.54100000000017,3.1891000000000016,3.0,4.0,7.552841968657781
593,593,CHEMBL172600,O=C(NC(Cc1ccccc1)C(=O)CCC(=O)N1CC(O)C[C@H]1C(=O)O)c1ccccc1,active,active,438.48000000000013,1.4233999999999996,3.0,5.0,6.267606240177032
594,594,CHEMBL172783,O=C(NC(Cc1ccccc1)C(=O)CCCC(=O)N1CCC[C@H]1C(=O)O)c1ccccc1,active,active,436.50800000000015,2.8427000000000007,2.0,4.0,7.376750709602099
595,595,CHEMBL172801,O=C(NC(Cc1ccc(OCc2ccccc2)cc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)O)c1ccccc1,active,active,528.6050000000005,4.031600000000003,2.0,5.0,8.0
596,596,CHEMBL369590,O=C(CCC(=O)C(Cc1ccccc1)NC(=O)c1ccccc1)NC(Cc1ccccc1)C(=O)OCc1ccccc1,active,active,562.6660000000003,4.8479000000000045,2.0,5.0,6.7447274948966935
597,597,CHEMBL435360,O=C(N[C@@H](Cc1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)O)c1ccccc1,active,active,422.48100000000017,2.4525999999999994,2.0,4.0,8.494850021680094
598,598,CHEMBL1560,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,active,active,217.28999999999996,0.6279000000000001,2.0,3.0,8.045757490560675
599,599,CHEMBL298647,O=C(CN1Cc2c(Cl)cccc2NC1=O)NO,inactive,inactive,255.66100000000003,1.1928999999999998,3.0,3.0,4.045757490560675
600,600,CHEMBL366727,O=C(NC(Cc1ccccc1)/C(CCC(=O)N1CCC[C@H]1C(=O)O)=N/O)c1ccccc1,intermediate,intermediate,437.4960000000001,2.7137000000000002,3.0,5.0,5.920818753952375
601,601,CHEMBL299946,O=C(CN1Cc2c(Cl)cccc2NS1(=O)=O)NO,inactive,inactive,291.716,0.3176999999999998,3.0,4.0,4.0
602,602,CHEMBL172913,CC(NC(=O)c1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)O,active,active,346.3830000000001,1.2298,2.0,4.0,6.522878745280337
603,603,CHEMBL172262,O=C(NC(Cc1ccccc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)O)c1ccco1,active,active,412.4420000000002,2.0455999999999994,2.0,5.0,8.853871964321762
604,604,CHEMBL368784,O=C(CCC(=O)N1CCC[C@H]1C(=O)O)C(Cc1ccccc1)NC(=O)C1CCCO1,active,active,416.4740000000002,1.3177999999999994,2.0,5.0,7.698970004336019
605,605,CHEMBL177394,COC(=O)[C@@H]1CCCN1C(=O)CCC(=O)C(Cc1ccccc1)NC(=O)c1ccccc1,active,active,436.50800000000004,2.5409999999999995,1.0,5.0,7.086186147616283
606,606,CHEMBL369809,CC(C)(C)OC(=O)[C@@H]1CCCN1C(=O)CCC(=O)C(Cc1ccc(OCc2ccccc2)cc1)NC(=O)c1ccccc1,intermediate,intermediate,584.7130000000002,5.288700000000005,1.0,6.0,5.0655015487564325
607,607,CHEMBL368640,NC(=O)[C@@H]1CCCN1C(=O)CCC(=O)C(Cc1ccccc1)NC(=O)c1ccccc1,active,active,421.49700000000007,1.8532999999999995,2.0,4.0,6.823908740944319
608,608,CHEMBL172356,O=C(NC(Cc1ccc(OCc2ccccc2)cc1)C(=O)CCC(=O)N1CCC[C@H]1C(=O)OCc1ccccc1)c1ccccc1,active,active,618.7300000000005,5.690400000000007,1.0,6.0,7.0655015487564325
609,609,CHEMBL110444,O=C(O)C1CSC(c2ccccc2O)N1C(=O)CCS,active,active,313.4000000000001,1.7392999999999996,3.0,5.0,7.187086643357144
610,610,CHEMBL311525,C[C@H](CS)C(=O)N1C(=O)CC[C@H]1C(=O)O,active,active,231.27299999999997,0.1544999999999998,2.0,4.0,8.045757490560675
611,611,CHEMBL305938,O=C(O)[C@H]1CCCN1C(=O)CCS,active,active,203.263,0.3819000000000002,2.0,3.0,6.698970004336019
612,612,CHEMBL54677,CC(C)[C@@H](O)C[C@H](O)[C@H](CC1CCCCC1)NC(=O)[C@H](Cc1c[nH]cn1)NC(=O)c1cc2ccccc2[nH]1,inactive,inactive,523.6780000000001,3.4552000000000005,6.0,5.0,4.0
613,613,CHEMBL10962,O=C(O)[C@@H]1CCCN1C(=O)CCS,inactive,inactive,203.263,0.3819000000000002,2.0,3.0,2.744727494896694
614,614,CHEMBL128223,O=C(/C=C\S)C1CC[C@@H](C(=O)O)C1,active,active,200.259,1.4999,2.0,3.0,6.187086643357144
615,615,CHEMBL2304318,C[C@H](N[C@](C)(CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,active,active,362.42600000000016,1.5162,3.0,4.0,8.920818753952375
616,616,CHEMBL131552,C[C@@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1)C(=O)N1CCC[C@H]1C(=O)O,active,active,437.49600000000027,1.6079999999999997,3.0,4.0,8.494850021680094
617,617,CHEMBL340528,O=C(O)C(CCc1ccccc1)N[C@H]1CCCC2SC[C@@H](C(=O)O)N2C1=O,active,active,392.47700000000015,1.5692000000000002,3.0,5.0,9.221848749616356
618,618,CHEMBL611148,C[C@@H](CS)C(=O)N1c2ccccc2C[C@H]1C(=O)O,active,active,265.334,1.5948,2.0,3.0,8.431798275933005
619,619,CHEMBL290284,O=C(O)CN1C(=O)[C@@H](NC(CCc2ccccc2)C(=O)O)CSc2ccccc21,active,active,414.4830000000002,2.2541,3.0,5.0,8.522878745280337
620,620,CHEMBL1560,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,active,active,217.28999999999996,0.6279000000000001,2.0,3.0,7.698970004336019
621,621,CHEMBL177000,COC(=O)c1ccccc1NC(=O)CN(C)C(=O)C1C[C@@H](S)CN1S(=O)(=O)c1ccc2ccccc2c1,inactive,inactive,541.6510000000002,2.7849000000000004,2.0,7.0,4.436518914605589
622,622,CHEMBL367315,O=c1cc(N2CCOCC2)oc2ccccc12,inactive,inactive,231.251,1.6296,0.0,4.0,4.872895201635193
623,623,CHEMBL191879,CC(=O)S[C@@H]1C[C@@H](COCc2cc(F)c(F)cc2F)N(C(=O)Oc2cccc3c2OCCO3)C1,inactive,inactive,497.49100000000027,4.3133000000000035,0.0,7.0,4.0
624,624,CHEMBL193490,O=C(S[C@@H]1C[C@@H](COCc2cc(F)c(F)cc2F)N(C(=O)Oc2cccc3c2OCCO3)C1)c1ccccc1,inactive,inactive,559.5620000000004,5.607200000000005,0.0,7.0,4.0
625,625,CHEMBL192441,CC(C)OC(=O)N1C[C@H](S)CC1CNCc1cc(F)ccc1F,inactive,inactive,344.427,2.972100000000001,2.0,4.0,4.0
626,626,CHEMBL194651,CCCc1cnc(N2C[C@H](S)CC2CNCc2cc(F)ccc2F)nc1,inactive,inactive,378.492,3.374200000000002,2.0,5.0,4.501689446210399
627,627,CHEMBL425383,Cc1ccc(S(=O)(=O)N(C)NC(=O)C2C[C@@H](S)CN2S(=O)(=O)c2ccc3ccccc3c2)cc1,inactive,inactive,519.6700000000002,2.56152,2.0,6.0,4.835647144215563
628,628,CHEMBL1560,C[C@H](CS)C(=O)N1CCC[C@H]1C(=O)O,active,active,217.28999999999996,0.6279000000000001,2.0,3.0,7.638272163982407
